Index,Province,NAME
0,Amnat Charoen,อำนาจเจริญ
1,Ang Thong,อ่างทอง
2,Bangkok,กรุงเทพมหานคร
3,Bueng Kan,บึงกาฬ
4,Buri Ram,บุรีรัมย์
5,Chachoengsao,ฉะเชิงเทรา
6,Chai Nat,ชัยนาท
7,Chaiyaphum,ชัยภูมิ
8,Chanthaburi,จันทบุรี
9,Chiang Mai,เชียงใหม่
10,Chiang Rai,เชียงราย
11,Chon Buri,ชลบุรี
12,Chumphon,ชุมพร
13,Kalasin,กาฬสินธุ์
14,Kamphaeng Phet,"	กำแพงเพชร"
15,Kanchanaburi,กาญจนบุรี
16,Khon Kaen,ขอนแก่น
17,Krabi,กระบี่
18,Lampang,ลำปาง
19,Lamphun,ลำพูน
20,Loei,เลย
21,Lop Buri,ลพบุรี
22,Mae Hong Son,แม่ฮ่องสอน
23,Maha Sarakham,มหาสารคาม
24,Mukdahan,มุกดาหาร
25,Nakhon Nayok,นครนายก
26,Nakhon Pathom,นครปฐม
27,Nakhon Phanom,นครพนม
28,Nakhon Ratchasima,นครราชสีมา
29,Nakhon Sawan,นครสวรรค์
30,Nakhon Si Thammarat,"	นครศรีธรรมราช"
31,Nan,น่าน
32,Narathiwat,นราธิวาส
33,Nong Bua Lam Phu,หนองบัวลำพู
34,Nong Khai,หนองคาย
35,Nonthaburi,นนทบุรี
36,Pathum Thani,ปทุมธานี
37,Pattani,ปัตตานี
38,Phangnga,พังงา
39,Phatthalung,พัทลุง
40,Phayao,พะเยาว์
41,Phetchabun,เพชรบูรณ์
42,Phetchaburi,เพชรบุรี
43,Phichit,พิจิตร
44,Phitsanulok,พิษณุโลก
45,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา
46,Phrae,แพร่
47,Phuket,ภูเก็ต
48,Prachin Buri,ปราจีนบุรี
49,Prachuap Khiri Khan,ประจวบคีรีขันธ์
50,Ranong,ระนอง
51,Ratchaburi,ราชบุรี
52,Rayong,ระยอง
53,Roi Et,ร้อยเอ็ด
54,Sa Kaeo,สระแก้ว
55,Sakon Nakhon,สกลนคร
56,Samut Prakan,สมุทรปราการ
57,Samut Sakhon,สมุทรสาคร
58,Samut Songkhram,สมุทรสงคราม
59,Saraburi,สระบุรี
60,Satun,สตูล
61,Si Sa Ket,ศรีสะเกษ
62,Sing Buri,สิงห์บุรี
63,Songkhla,สงขลา
64,Sukhothai,สุโขทัย
65,Suphan Buri,สุพรรณบุรี
66,Surat Thani,สุราษฎร์ธานี
67,Surin,สุรินทร์
68,Tak,ตาก
69,Trang,ตรัง
70,Trat,ตราด
71,Ubon Ratchathani,"	อุบลราชธานี"
72,Udon Thani,"	อุดรธานี"
73,Uthai Thani,อุทัยธานี
74,Uttaradit,อุตรดิตถ์
75,Yala,ยะลา
76,Yasothon,ยโสธร
